Clan Origin	Family Name	Birth year		Clan ID	Lat.	Long.	Easting	Northing
??	?	1927		742	35.41896	129.28077	525.4894859	3919.541927
??	?	1927		742	35.41896	129.28077	525.4894859	3919.541927
??	?	1927		742	35.41896	129.28077	525.4894859	3919.541927
??	?	1927		753	35.85617	129.22475	520.2929175	3968.019096
??	?	1927		767	35.77464	128.43171	448.6357779	3959.102109
??	?	1927		773	33.38106	126.87676	302.4947905	3695.546617
??	?	1927		774	35.91901	128.28297	435.309247	3975.202998
??	?	1927		810	37.26357	127.0286	325.1905928	4125.933005
??	?	1927		810	37.26357	127.0286	325.1905928	4125.933005
??	?	1927		810	37.26357	127.0286	325.1905928	4125.933005
??	?	1927		810	37.26357	127.0286	325.1905928	4125.933005
??	?	1927		832	37.34222	127.92016	404.3508825	4133.383798
??	?	1927		886	35.77464	128.43171	448.6357779	3959.102109
??	?	1927		886	35.77464	128.43171	448.6357779	3959.102109
??	?	1927		886	35.77464	128.43171	448.6357779	3959.102109
??	?	1927		886	35.77464	128.43171	448.6357779	3959.102109
??	?	1927		886	35.77464	128.43171	448.6357779	3959.102109
??	?	1927		886	35.77464	128.43171	448.6357779	3959.102109
??	?	1927		886	35.77464	128.43171	448.6357779	3959.102109
??	?	1927		886	35.77464	128.43171	448.6357779	3959.102109
??	?	1927		886	35.77464	128.43171	448.6357779	3959.102109
??	?	1927		886	35.77464	128.43171	448.6357779	3959.102109
??	?	1927		886	35.77464	128.43171	448.6357779	3959.102109
??	?	1927		886	35.77464	128.43171	448.6357779	3959.102109
??	?	1927		886	35.77464	128.43171	448.6357779	3959.102109
??	?	1927		902	37.272	127.43482	361.229428	4126.194933
??	?	1927		902	37.272	127.43482	361.229428	4126.194933
??	?	1927		902	37.272	127.43482	361.229428	4126.194933
??	?	1927		916	35.82822	128.5255	457.1417347	3964.999684
??	?	1927		920	36.99101	127.92595	404.4224457	4094.414119
??	?	1927		923	34.77146	127.07989	324.2894294	3849.378789
??	?	1927		923	34.77146	127.07989	324.2894294	3849.378789
??	?	1927		940	37.75185	128.87606	489.0818321	4178.29006
??	?	1927		950	35.54456	128.49221	453.9722017	3933.553978
??	?	1927		950	35.54456	128.49221	453.9722017	3933.553978
??	?	1927		963	35.17998	128.10762	418.7464403	3893.367026
??	?	1927		965	35.85617	129.22475	520.2929175	3968.019096
??	?	1927		973	35.50376	128.74644	477.0049047	3928.939998
